"Time"	"Pilot injection time"	"Main injection time"	"Pilot injection start"	"Main injection start"
"sec"	"ms"	"ms"	"deg."	"deg."
36.88	0.1200	0.2470	42.6600	6.8700
37.14	0.1190	0.2520	42.6100	6.8700
37.44	0.1180	0.2510	42.6400	6.8400
37.72	0.1190	0.2450	42.6400	6.8700
38.00	0.1190	0.2470	42.6600	6.8700
38.28	0.1190	0.2500	42.6400	6.8700
38.56	0.1190	0.2520	42.6600	6.8400
38.86	0.1180	0.2480	42.6800	6.8700
39.14	0.1200	0.2440	42.6600	6.8700
39.42	0.1190	0.2550	42.6400	6.8700
39.70	0.1180	0.2510	42.6800	6.8700
39.98	0.1190	0.2520	42.6600	6.8700
40.28	0.1180	0.2470	42.6400	6.8400
